축제명,개최장소,축제시작일자,시작일_정리,축제종료일자,종료일_정리,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위치,위도,경도,데이터기준일자,제공기관코드,제공기관명
세계불꽃축제with 버스킹,노량진축구장,2025-09-27,20250927,2025-09-27,20250927,불꽃과 선율이 만나는 특별한 밤 서울불꽃음악회,동작문화재단,서울특별시 동작문화재단,서울특별시,02-820-9356,www.idfac.or.kr/,,서울특별시 동작구 성대로25가길 8,서울특별시 동작구 상도동 198-11,서울,37.49942737,126.9382595,2025-04-29,3190000,서울특별시 동작구
용마폭포문화예술축제,용마폭포공원,2025-09-27,20250927,2025-09-27,20250927,클래식·성악 등 가을 분위기에 어울리는 공연+각종 체험행사 등,중랑문화재단,중랑문화재단,서울특별시 중랑구청+서울특별시청,02-3407-6532,https://www.jnfac.or.kr/contents/1335,,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,서울,37.573335,127.089125,2025-06-15,3060000,서울특별시 중랑구
놀러와 대학로 차 없는 거리 축제,대학로,2025-04-26,20250426,2025-09-27,20250927,대학로 대로변 차 없는 거리 행사 진행,서울특별시 종로구,서울특별시 종로구,,02-2148-1812,www.jongno.go.kr,,"서울특별시 종로구 종로1길 36, 8층 문화과",서울특별시 종로구 수송동 146-12,서울,37.57350514,126.9789883,2025-04-14,3000000,서울특별시 종로구
동작댄스데이,노량진축구장,2025-09-28,20250928,2025-09-28,20250928,댄스대회+길거리 댄스교습소,동작문화재단,서울특별시 동작문화재단,서울특별시,02-820-9657,www.idfac.or.kr/,,서울특별시 동작구 성대로25가길 8,서울특별시 동작구 상도동 198-11,서울,37.49942737,126.9382595,2025-04-29,3190000,서울특별시 동작구
서리풀페스티벌,서초역+서초동 일대,2025-09-27,20250927,2025-09-28,20250928,고품격 음악회+청년예술가 및 거리예술가들의 거리공연+마켓존운영,서초문화재단,서울특별시 서초구,,,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8e6c78b2-12ce-440b-9aea-ed49f4e42c23&cntntsNm=%EC%84%9C%EB%A6%AC%ED%92%80%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C,,서울특별시 서초구 반포대로,,서울,,,2025-05-09,3210000,서울특별시 서초구
세계민속춤 축제,왕십리역광장,2025-09-01,20250901,2025-09-30,20250930,세계 각국의 전통 민속춤 공연,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5207,https://www.sd.go.kr/tour/contents.do?key=3946&,,서울특별시 성동구 왕십리광장로 17,,서울,37.56144175,127.0383942,2025-06-18,3030000,서울특별시 성동구
중랑 북페스티벌,중랑구청 잔디광장,2025-10-01,20251001,2025-10-01,20251001,가을에 어울리는 독서문화체험 부스 및 각종 체험행사 등,서울특별시 중랑구청,서울특별시 중랑구청,서울특별시청,02-2094-1834,https://www.jungnang.go.kr/portal/main.do,,서울특별시 중랑구 봉화산로 179,서울특별시 중랑구 신내동 662,서울,37.60656359,127.0927248,2025-06-15,3060000,서울특별시 중랑구
종로한복축제,광화문광장,2025-10-10,20251010,2025-10-11,20251011,한복을 중심으로 한 전통행사,(재)종로문화재단,서울특별시 종로구+종로문화재단,서울특별시+문화체육관광부+문화재청+한국관광공사,02-2148-1807,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=386d4879-0db1-4c4e-928f-8701c8d16d69&cntntsNm=%EC%A2%85%EB%A1%9C%ED%95%9C%EB%B3%B5%EC%B6%95%EC%A0%9C,,"서울특별시 종로구 새문안로3길 3, 6층",서울특별시 종로구 신문로1가 58-15,서울,37.57065619,126.9723943,2025-04-14,3000000,서울특별시 종로구
제23회 허준축제,서울식물원+마곡광장+마곡중앙로,2025-10-18,20251018,2025-10-19,20251019,허준콘서트+각종 의료건강 프로그램 운영,강서문화원,서울특별시 강서구,서울특별시+강서구의회,02-2600-6455,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e5038ef4-104c-484c-bd27-468eee92eddd&cntntsNm=%ED%97%88%EC%A4%80%EC%B6%95%EC%A0%9C,,서울특별시 강서구 마곡동로 161,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 금천하모니축제,금천구청 및 안양천 일대,2025-10-18,20251018,2025-10-19,20251019,공연+전시+체험+마켓 등,서울특별시 금천문화재단,서울특별시 금천구청,서울특별시청,02-2627-1442,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,서울,37.4570657,126.8960369,2025-06-20,3170000,서울특별시 금천구
동대문페스티벌,장한로 일대(우리은행 사거리~장안동사거리),2025-10-18,20251018,2025-10-19,20251019,"전 세대가 즐기는 이동무대극과 음악공연 및 도시공간을 새롭게 경험하는 캠핑, 정원, 마켓 등",재단법인 동대문문화재단,서울특별시 동대문구청,,02-2127-4711,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=2d6f20e1-b8d2-4398-b7fd-04223e733eb6&cntntsNm=%EB%8F%99%EB%8C%80%EB%AC%B8%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C%EC%9D%B4%EB%8F%99%EB%AC%B4%EB%8C%80,,서울특별시 동대문구 장한로,,서울,,,2025-04-11,3050000,서울특별시 동대문구
제18회 마포나루 새우젓축제,월드컵공원 평화의 광장 일원,2025-10-17,20251017,2025-10-19,20251019,"개장식, 기념식, 문화·체험행사, 판매장터 운영 등",마포문화원,서울특별시 마포구,서울특별시,02-3153-8353,https://www.mapo.go.kr/site/maponarusf/content/mss240101,,서울특별시 마포구 월드컵로 243-60,서울특별시 마포구 성산동 390-1,서울,,,2025-05-09,3130000,서울특별시 마포구
관악강감찬축제,낙성대공원,2025-10-17,20251017,2025-10-19,20251019,강감찬 가요제+퍼레이드21+강감찬 토크쇼+예술공연+고려장터+별의별 놀이터+벽란도 21+리틀강감찬 등,관악문화재단,서울특별시 관악구,문화관광체육부+서울특별시청,02-828-5765,https://ggcfest.com/,,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 228,서울,37.47197208,126.959371,2025-05-25,B551011,한국관광공사
악기거리축제,서초동 악기거리 일대,2025-10-24,20251024,2025-10-24,20251024,작은음악회+거리콘서트+악기거리 마켓+체험행사 등,서울악기거리축제추진위원회,서울악기거리축제추진위원회,,,https://www.seocho.go.kr/site/seocho/04/10405061700002023090511.jsp,,서울특별시 서초구남부순환로317길,,서울,,,2025-05-09,3210000,서울특별시 서초구
말죽거리축제,양재 말죽거리 일대,2025-10-23,20251023,2025-10-24,20251024,마방체험+말죽거리 문화공연+주민노래자랑 및 퍼레이드,말죽거리소상공인연합회,말죽거리소상공인연합회,,,https://www.seocho.go.kr/site/seocho/ex/bbs/View.do?cbIdx=57&bcIdx=394243,,서울특별시 서초구 남부순환로356길 15,,서울,,,2025-05-09,3210000,서울특별시 서초구
도심속바다축제,노량진축구장 및 야구장,2025-10-25,20251025,2025-10-26,20251026,문화예술공연+먹거리부스운영+체험프로그램,"서울특별시 동작구청 문화정책과, 수협노량진수산(주)","서울특별시 동작구청 문화정책과, 수협노량진수산(주)",서울특별시,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
태조 이성계 축제,살곶이다리,2025-09-01,20250901,2025-10-31,20251031,태조 이성계 사냥행차 재연+지역예술인 단체 문화공연+전통무예시연+설치미술 전시 및 포토존 등,서울특별시 성동구청,서울특별시 성동구청,,02-2204-5203,https://www.sd.go.kr/tour/contents.do?key=3947&,,서울특별시 성동구 행당동 58,,서울,37.553094,127.046658,2025-06-18,3030000,서울특별시 성동구
서울숲 JAZZ페스티벌,서울숲공원,2025-09-01,20250901,2025-10-31,20251031,유명 재즈팀이 참여하는 재즈공연 및 부대행사 등,서울특별시 성동구청,서울특별시 성동구청,,02-2204-6404,https://www.sd.go.kr/tour/contents.do?key=3948&,,서울특별시 성동구 뚝섬로 273,,서울,37.54307015,127.0417991,2025-06-18,3030000,서울특별시 성동구
2025 웰컴대학로,대학로,2025-10-04,20251004,2025-11-08,20251108,대학로를 다양하게 즐길 수 있는 공연관광 페스티벌,한국관광공사,한국관광공사,,033-738-3000,https://korean.visitkorea.or.kr/,,"서울특별시 종로구 대학로 120, 대학로 일대",서울특별시 종로구 동숭동 1-27 대학로 일대,서울,37.58187734,127.0022951,2025-04-14,3000000,서울특별시 종로구
마곡위시빌리지,마곡문화의거리,2025-12-01,20251201,2025-12-01,20251201,경관조성+공연 등,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-5890,https://www.gangseo.seoul.kr/search?searchText=%EB%A7%88%EA%B3%A1%EC%9C%84%EC%8B%9C%EB%B9%8C%EB%A6%AC%EC%A7%80&colTarget=TOTAL&curPage=1&lang=KO,,서울특별시 강서구 마곡동로4길23,서울특별시 강서구 마곡동 797-13,서울,,,2025-04-29,3150000,서울특별시 강서구
강남아트X2025 서울아트쇼,코엑스,2025-05-10,20250510,2025-12-26,20251226,작품전시 아트페어+홍보부스 및 이벤트 운영+갤러리 스탬프투어,서울특별시 강남구청,서울특별시 강남구청,,02-3423-5545,https://visitgangnam.net/cultural-events/end/2023gangnamart/,,서울특별시 강남구 영동대로 513 등,,서울,,,2025-02-08,3220000,서울특별시 강남구
신년 해맞이축제,하늘공원,2026-01-01,20260101,2026-01-01,20260101,"대북타고, 신년덕담, 일출감상 등",서울특별시 마포구,서울특별시 마포구,,02-3153-8353,https://www.mapo.go.kr/site/culture/tour/culture_onstop_tour_view?motSeq=2028,,서울특별시 마포구 하늘공원로 95,서울특별시 마포구 상암동 481-72,서울,,,2025-05-09,3130000,서울특별시 마포구
,,,,,,,,,,,,,,,,,,,놀러와,
